Age_group,Sex,Year,Suicide_rate
85+,Males,2019,33
85+,Males,2020,37
85+,Males,2021,36.4
15–19,Females,2012,8.3
15–19,Females,2013,5.7
15–19,Females,2014,5.4
15–19,Females,2015,7.9
15–19,Females,2016,5.1
15–19,Females,2017,7.1
15–19,Females,2018,7
15–19,Females,2019,6.6
15–19,Females,2020,6.1
15–19,Females,2021,7.1
20–24,Females,2012,6.3
20–24,Females,2013,6.7
20–24,Females,2014,7.3
20–24,Females,2015,6.6
20–24,Females,2016,8
20–24,Females,2017,6.8
20–24,Females,2018,6.1
20–24,Females,2019,8.4
20–24,Females,2020,7.4
20–24,Females,2021,9
25–29,Females,2012,5.1
25–29,Females,2013,5.6
25–29,Females,2014,6.5
25–29,Females,2015,6.7
25–29,Females,2016,7.5
25–29,Females,2017,7.6
25–29,Females,2018,6.9
25–29,Females,2019,8.4
25–29,Females,2020,8.1
25–29,Females,2021,7.7
30–34,Females,2012,6.9
30–34,Females,2013,5.7
30–34,Females,2014,7.5
30–34,Females,2015,6.7
30–34,Females,2016,8.6
30–34,Females,2017,7.6
30–34,Females,2018,6.6
30–34,Females,2019,6.2
30–34,Females,2020,8.3
30–34,Females,2021,7
35–39,Females,2012,8.3
35–39,Females,2013,8.2
35–39,Females,2014,9.8
35–39,Females,2015,8.8
35–39,Females,2016,7.4
35–39,Females,2017,7.1
35–39,Females,2018,7.5
35–39,Females,2019,9.2
35–39,Females,2020,7
35–39,Females,2021,8
40–44,Females,2012,8.6
40–44,Females,2013,9.5
40–44,Females,2014,8.2
40–44,Females,2015,8.4
40–44,Females,2016,8.2
40–44,Females,2017,9.9
40–44,Females,2018,9.8
40–44,Females,2019,10
40–44,Females,2020,7.8
40–44,Females,2021,8.9
45–49,Females,2012,6.6
45–49,Females,2013,8.4
45–49,Females,2014,7.9
45–49,Females,2015,11.3
45–49,Females,2016,8.4
45–49,Females,2017,11.1
45–49,Females,2018,8.5
45–49,Females,2019,7.7
45–49,Females,2020,9.6
45–49,Females,2021,7.4
50–54,Females,2012,9.2
50–54,Females,2013,8.9
50–54,Females,2014,9.1
50–54,Females,2015,10.1
50–54,Females,2016,10.6
50–54,Females,2017,11.4
50–54,Females,2018,9.3
50–54,Females,2019,8.8
50–54,Females,2020,6.8
50–54,Females,2021,9.5
55–59,Females,2012,6.5
55–59,Females,2013,7
55–59,Females,2014,7.9
55–59,Females,2015,9.2
55–59,Females,2016,7
55–59,Females,2017,9.9
55–59,Females,2018,8.6
55–59,Females,2019,9.5
55–59,Females,2020,5.9
55–59,Females,2021,7.5
60–64,Females,2012,6.2
60–64,Females,2013,7.5
60–64,Females,2014,6.1
60–64,Females,2015,5.8
60–64,Females,2016,6
60–64,Females,2017,7.9
60–64,Females,2018,7
60–64,Females,2019,7.4
60–64,Females,2020,6.3
60–64,Females,2021,5
65–69,Females,2012,4.3
65–69,Females,2013,5
65–69,Females,2014,5.9
65–69,Females,2015,4.6
65–69,Females,2016,4.8
65–69,Females,2017,5.8
65–69,Females,2018,6.3
65–69,Females,2019,4.7
65–69,Females,2020,4.6
65–69,Females,2021,4.4
70–74,Females,2012,4.7
70–74,Females,2013,5.8
70–74,Females,2014,6.7
70–74,Females,2015,6.5
70–74,Females,2016,5.3
70–74,Females,2017,7
70–74,Females,2018,4.8
70–74,Females,2019,4.6
70–74,Females,2020,5.4
70–74,Females,2021,4.9
75–79,Females,2012,4.9
75–79,Females,2013,5.4
75–79,Females,2014,3.4
75–79,Females,2015,6.3
75–79,Females,2016,8.5
75–79,Females,2017,6.8
75–79,Females,2018,5.2
75–79,Females,2019,7.4
75–79,Females,2020,6
75–79,Females,2021,4.3
80–84,Females,2012,10.3
80–84,Females,2013,4.8
80–84,Females,2014,6
80–84,Females,2015,6.8
80–84,Females,2016,4.8
80–84,Females,2017,7.3
80–84,Females,2018,9.4
80–84,Females,2019,7.2
80–84,Females,2020,6.6
80–84,Females,2021,5.8
85+,Females,2012,4
85+,Females,2013,6.7
85+,Females,2014,6.9
85+,Females,2015,6.1
85+,Females,2016,8.2
85+,Females,2017,5.5
85+,Females,2018,5.2
85+,Females,2019,8.3
85+,Females,2020,6.3
85+,Females,2021,8.9
15–19,Persons,2012,9
15–19,Persons,2013,10.6
15–19,Persons,2014,9.1
15–19,Persons,2015,10.2
15–19,Persons,2016,9.4
15–19,Persons,2017,11.1
15–19,Persons,2018,12.6
15–19,Persons,2019,11.6
15–19,Persons,2020,11.7
15–19,Persons,2021,10.2
20–24,Persons,2012,12
20–24,Persons,2013,12.7
20–24,Persons,2014,14.4
20–24,Persons,2015,14.8
20–24,Persons,2016,16
20–24,Persons,2017,14.8
20–24,Persons,2018,15.2
20–24,Persons,2019,16.6
20–24,Persons,2020,16.4
20–24,Persons,2021,15.5
25–29,Persons,2012,12.5
25–29,Persons,2013,12.2
25–29,Persons,2014,13.3
25–29,Persons,2015,14.8
25–29,Persons,2016,14.4
25–29,Persons,2017,16.1
25–29,Persons,2018,15.1
25–29,Persons,2019,16.4
25–29,Persons,2020,15.6
25–29,Persons,2021,16.1
30–34,Persons,2012,14.8
30–34,Persons,2013,12.9
30–34,Persons,2014,17.4
30–34,Persons,2015,16
30–34,Persons,2016,18
30–34,Persons,2017,17.6
30–34,Persons,2018,15.2
30–34,Persons,2019,16.2
30–34,Persons,2020,15.6
30–34,Persons,2021,15.2
35–39,Persons,2012,17.1
35–39,Persons,2013,15
35–39,Persons,2014,17.5
35–39,Persons,2015,18.3
35–39,Persons,2016,16.2
35–39,Persons,2017,17.3
35–39,Persons,2018,17.6
35–39,Persons,2019,18.5
35–39,Persons,2020,15.3
35–39,Persons,2021,16.3
40–44,Persons,2012,17.1
40–44,Persons,2013,18
40–44,Persons,2014,19.5
40–44,Persons,2015,19.5
40–44,Persons,2016,17.9
40–44,Persons,2017,21.1
40–44,Persons,2018,17.9
40–44,Persons,2019,19.7
40–44,Persons,2020,17.4
40–44,Persons,2021,15.8
45–49,Persons,2012,16.8
45–49,Persons,2013,16.3
45–49,Persons,2014,16.7
45–49,Persons,2015,21.8
45–49,Persons,2016,15.8
45–49,Persons,2017,22.2
45–49,Persons,2018,18.8
45–49,Persons,2019,19.8
45–49,Persons,2020,17.4
45–49,Persons,2021,15.3
50–54,Persons,2012,16.8
50–54,Persons,2013,16.7
50–54,Persons,2014,19.5
50–54,Persons,2015,20.9
50–54,Persons,2016,17.4
50–54,Persons,2017,16.8
50–54,Persons,2018,18.5
50–54,Persons,2019,17.8
50–54,Persons,2020,16.6
50–54,Persons,2021,18.1
55–59,Persons,2012,13.7
55–59,Persons,2013,14.1
55–59,Persons,2014,17.4
55–59,Persons,2015,15.3
55–59,Persons,2016,14.6
55–59,Persons,2017,18.4
55–59,Persons,2018,18.8
55–59,Persons,2019,17.8
55–59,Persons,2020,14
55–59,Persons,2021,16.4
60–64,Persons,2012,11.8
60–64,Persons,2013,13.1
60–64,Persons,2014,13.6
60–64,Persons,2015,12.6
60–64,Persons,2016,13.6
60–64,Persons,2017,14.2
60–64,Persons,2018,15.3
60–64,Persons,2019,15.6
60–64,Persons,2020,14.7
60–64,Persons,2021,13.4
65–69,Persons,2012,9.7
65–69,Persons,2013,10.8
65–69,Persons,2014,11.4
65–69,Persons,2015,11.8
65–69,Persons,2016,10.4
65–69,Persons,2017,13.7
65–69,Persons,2018,11.2
65–69,Persons,2019,11.2
65–69,Persons,2020,10.8
65–69,Persons,2021,11.4
70–74,Persons,2012,11.7
70–74,Persons,2013,11.7
70–74,Persons,2014,11.7
70–74,Persons,2015,12.7
70–74,Persons,2016,10.1
70–74,Persons,2017,13
70–74,Persons,2018,10.9
70–74,Persons,2019,11.2
70–74,Persons,2020,10.8
70–74,Persons,2021,11.8
75–79,Persons,2012,10.7
75–79,Persons,2013,12.9
75–79,Persons,2014,12.2
75–79,Persons,2015,12.8
75–79,Persons,2016,15
75–79,Persons,2017,11.4
75–79,Persons,2018,11.5
75–79,Persons,2019,13.2
75–79,Persons,2020,12.4
75–79,Persons,2021,10.7
80–84,Persons,2012,18.4
80–84,Persons,2013,12.6
80–84,Persons,2014,12.5
80–84,Persons,2015,15.6
80–84,Persons,2016,12.5
80–84,Persons,2017,14.1
80–84,Persons,2018,15.9
80–84,Persons,2019,13.9
80–84,Persons,2020,13.5
80–84,Persons,2021,17.4
85+,Persons,2012,15.9
85+,Persons,2013,18
85+,Persons,2014,18.3
85+,Persons,2015,19
85+,Persons,2016,18.6
85+,Persons,2017,16.3
85+,Persons,2018,16.1
85+,Persons,2019,17.7
85+,Persons,2020,18.1
85+,Persons,2021,19.7
